bibtex_key,company_name,hq_city
JSI_Telecom,JSI Telecom,Ottawa
Kapow_Software,Kapow Software,Palo Alto
Kingfisher_Systems,Kingfisher Systems,Falls Church
Kommlabs_Dezign,Kommlabs Dezign,Noida
L-3_TRL_Technology,L-3 TRL Technology,Gloucestershire
L-3_ASA,L-3 ASA,Fleet
Loquendo,Loquendo,Burlington
Macro_System,Macro System,Warsaw
Mantaro,Mantaro,Germantown
ManTech,ManTech,Fairfax
MEDAV,MEDAV,Uttenreuth
Meganet,Meganet,Las Vegas
Mera_Systems,Mera Systems,Novgorod
Metaswitch,Metaswitch,London
Micro_Systemation,Micro Systemation,Stockholm
Motec,Motec,Kuala Lumpur
Napatech,Napatech,Soeborg
Narus,Narus,Sunnyvale
Natural_Speech_Communication,Natural Speech Communication,Rishon LeZion
Neosoft,Neosoft,Zurich
Net_Optics,Net Optics,Santa Clara
Netagent,Netagent,Tokyo
Net_App,Net App,Sunnyvale
Netezza,Netezza,Marlborough
Neti,Neti,Budapest
NetQuest,NetQuest,Mount Laurel
Netronome_Networks,Netronome Networks,Santa Clara
NetScout_Systems,NetScout Systems,Westford
Netsweeper,Netsweeper,Guelph
NetWitness,NetWitness,Reston
Network_Critical_Solutions,Network Critical,Reading
Neustar,Neustar,Sterling
Newport_Networks,Newport Networks,Newport Beach
News_Datacom_Research,News Datacom Research,Staines
Nice_Systems,Nice Systems,Ra'anana
Niksun,Niksun,Princeton
Nokia_Siemens_Networks,Nokia Siemens Networks,Espoo
Northrop_Grumman,Northrop Grumman,Falls Church
Ntrepid,Ntrepid,Herndon
Nuance_Technology,Nuance Technology,Burlington
Wildpackets,Wildpackets,Walnut Creek
OmniPerception,OmniPerception,Guildford
Onpath_Technologies,Onpath Technologies,Marlton
Openet,Openet,Dublin
Oxygen_Software,Oxygen Software,Moscow
Packet_Forensics,Packet Forensics,Tempe
Pad_Datentechnik,Pad Datentechnik,Hessisch Oldendorf
Paladion_Networks,Paladion Networks,Delhi
Palantir,Palantir,Palo Alto
Panoptech,Panoptech,Fleet
Paraben,Paraben,Ashburn
Pda_Electronics,Pda Electronics,Chesham
Pen_Link,Pen Link,Lincoln
Phoenix,Phoenix,Milpitas
Phonexia,Phonexia,Brno
Pine_Digital_Security,Pine Digital Security,The Hague
Plath,Plath,Hamburg
Polaris_Wireless,Polaris Wireless,Mountain View
Profilium,Profilium,Montreal
Protei,Protei,St Petersburg
Qinetiq,Qinetiq,Farnborough
Qosmos,Qosmos,Paris
Radisys,Radisys,Hillsboro
Radware,Radware,Mahwah
Raytheon,Raytheon,Waltham
RCS,RCS,Milan
RESI_Group,RESI Group,Rome
Retentia,Retentia,Redwood City
Rohde_and_Schwarz,Rohde and Schwarz,Munich
Roke_Manor_Research,Roke Manor Research,Romsey
RTI_Systems,RTI Systems,Moscow
Sagem,Sagem,Paris
SAIC,SAIC,McLean
Salient_Stills,Salient Stills,Boston
Sandvine,Sandvine,Waterloo
Scan_and_Target,Scan and Target,Puteaux
Seartech,Seartech,Pretoria
SSI-Pacific,SSI Pacific,Wellington
Selectronic,Selectronic,Huenstetten
Selex-ES,Selex ES,Essex
Semptian_Technologies,Semptian Technologies,Shenzhen
SenSage,SenSage,San Mateo
Septier,Septier,Petah Tikva
Serpikom,Serpikom,Illiers Leveque
SESP,SESP,Paris
SevOne,SevOne,Wilmington
Shield_Security,Shield Security,London
Shoghi_Communications,Shoghi Communications,Shimla
Siemens,Siemens,Munich
Silat-Solutions,Silat Solutions,Amman
Sitronics,Sitronics,Moscow
Smith-Myers,Smith Myers,Biggleswade
Smoothwall,Smoothwall,Leeds
Solera-Networks,Solera Networks,South Jordan
Sonicwall,Sonicwall,Cheltenham
Sonus-Networks,Sonus Networks,Westford
Sophos,Sophos,Abingdon
Spectronic_Systems,Spectronic Systems,Copenhagen
Speech_Technology_Center,Speech Technology Center,St Petersburg
SPEI,SPEI,Milan
Spektra,Spektra,Busto Arsizio
Spirent_Communications,Spirent Communications,Crawley
SS8_Networks,SS8 Networks,Milpitas
Stratign,Stratign,Dubai
Subsentio,Subsentio,Centennial
Sun_Tech_Intelligence,Sun Tech Intelligence,Florianopolis
Syborg,Syborg,Bexbach
SystemWare_Europe,SystemWare Europe,Stotfold
Tadiran_Electronic_Systems,Tadiran Electronic Systems,Holon
Teel_Technologies,Teel Technologies,Norwalk
TelcoBridges,TelcoBridges,Boucherville
Telesoft_Technologies,Telesoft Technologies,Dorset
Teletel,Teletel,Athens
Teletel_Advanced_Technologies,Teletel Advanced Technologies,Abu Dhabi
Thales,Thales,Paris
ThorpeGlen,ThorpeGlen,Martlesham
Tilera-Corporation,Tilera Corporation,San Jose
Tinex,Tinex,Oslo
TraceSpan,TraceSpan,Ra anana
Trovicor,Trovicor,Munich
TruePosition,TruePosition,Berwyn
Ultra_Electronics_Network_Analytics,Ultra Electronics Network Analytics,Gloucestershire
Unipier,Unipier,Netanya
Unispeed,Unispeed,Copenhagen
Utimaco,Utimaco,Aachen
VASTech,VASTech,Stellenbosch
Verint,Verint,Melville
Procera,Procera,Fremont
Vislink_Group,Vislink Group,Hungerford
Visual_Analytics,Visual Analytics,Frederick
Vixtel,Vixtel,Beijing
Vocal_Technologies,Vocal Technologies,Amherst
VSS_Monitoring,VSS Monitoring,San Mateo
VUPEN,VUPEN,Montpellier
XALTED,XALTED,San Jose
Ytrail,Ytrail,Zug
ZTE,ZTE,Shenzhen
